year_interval,book,image_weight
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/11417c32-ee2f-43cd-a032-d5ead5bd8069,12
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/1dac3b48-7793-4d0c-8d35-bf74e7f39617,12
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/75ab376c-0227-4ad7-b9f5-2fb796d5afb8,12
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/08edefcd-8873-4d42-9041-bb2d0a99d299,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/0fd18ec6-f67b-4f77-9366-f616808d5945,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/1cc43766-934e-40d2-b2a5-9788b0073831,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/7e241bb5-41e3-4e08-9ab1-547a93fe6b3d,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/a9a94b21-1df3-460e-96e5-fc6ed0974f3c,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/af473ce0-7e61-4138-a4d0-5e487470e674,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/baee638b-3a9b-49b1-987d-ae2cb8141c8d,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/fa127188-5e05-4168-9f01-46861bc369e6,10
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/b6d66d26-e649-4465-a762-42bda5cf2e47,9
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/1b5f58af-c396-4fc9-bd85-1ce63a58aae0,8
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/7f569351-eecf-43e0-93dc-01790080c3fa,8
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/910f2ca0-5cad-4cd5-aae6-f15a45d7108c,8
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/a5ac97ab-ac78-4c7b-87bf-9f7aaec5f54d,8
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/ef84b302-6e36-49ef-8ba1-b0de8456bc6d,8
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/1c792162-734b-4aad-906f-6b0d20d81141,7
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/889cdc14-a546-4649-b912-bb6f9d579f23,7
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/18adfee5-2499-4efa-866f-cb5f1cdd1944,6
